yr	terr.occ	nests.active	nest.succ	Offspring produced	breeding.succ	young.per.active.nest	young.per.occ.terr	brood.size
1975	0	0	0	0	NA	NA	NA	NA
1976	0	0	0	0	NA	NA	NA	NA
1977	0	0	0	0	NA	NA	NA	NA
1978	0	0	0	0	NA	NA	NA	NA
1979	1	0	0	0	NA	NA	NA	NA
1980	5	3	2	4	0.67	1.33	0.8	2
1981	6	3	2	5	0.67	1.67	0.83	2.5
1982	8	5	4	9	0.8	1.8	1.13	2.25
1983	10	8	6	15	0.75	1.88	1.5	2.5
1984	17	15	9	22	0.6	1.47	1.29	2.44
1985	27	21	10	30	0.48	1.43	1.11	3
1986	25	22	15	33	0.68	1.5	1.32	2.2
1987	29	25	18	39	0.72	1.56	1.34	2.17
1988	29	23	16	50	0.7	2.17	1.72	3.13
1989	31	22	16	36	0.73	1.64	1.16	2.25
1990	28	23	19	46	0.83	2	1.64	2.42
1991	33	26	19	48	0.73	1.85	1.45	2.53
1992	36	31	20	44	0.65	1.42	1.22	2.2
1993	36	32	18	49	0.56	1.53	1.36	2.72
1994	38	34	22	52	0.65	1.53	1.37	2.36
1995	40	35	25	71	0.71	2.03	1.78	2.84
1996	43	38	24	59	0.63	1.55	1.37	2.46
1997	39	34	24	54	0.71	1.59	1.38	2.25
1998	46	39	26	64	0.67	1.64	1.39	2.46
1999	43	36	30	83	0.83	2.31	1.93	2.77
2000	43	41	30	76	0.73	1.85	1.77	2.53
2001	44	37	30	81	0.81	2.19	1.84	2.7
2002	47	41	35	83	0.85	2.02	1.77	2.37
2003	48	46	32	95	0.7	2.07	1.98	2.97
2004	50	42	33	89	0.79	2.12	1.78	2.7
2005	52	43	36	96	0.84	2.23	1.85	2.67
2006	56	47	40	106	0.85	2.26	1.89	2.65
2007	55	48	38	113	0.79	2.35	2.05	2.97
